,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
76,÷ (Deluxe),3,51ChrwmUPDJvedPQnIU8Ls,Dive,spotify:track:51ChrwmUPDJvedPQnIU8Ls,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,0.526,76
77,÷ (Deluxe),4,7qiZfU4dY1lWllzX7mPBI3,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,87
78,÷ (Deluxe),5,0tgVpDi06FyKpA1z0VMD4v,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168,88
79,÷ (Deluxe),6,0afhq8XCExXpqazXczTSve,Galway Girl,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,0.781,80
80,÷ (Deluxe),7,2RttW7RAu5nOAfq6YFvApB,Happier,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,0.236,83
81,÷ (Deluxe),8,5HDPtsnyb3maFmPL8LLUTG,New Man,spotify:track:5HDPtsnyb3maFmPL8LLUTG,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,0.862,70
82,÷ (Deluxe),9,2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,spotify:track:2dfHh7ECGxfNqZTQno09Vk,0.719,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,0.181,70
83,÷ (Deluxe),10,2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,0.895,71
84,÷ (Deluxe),11,6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,0.242,71
85,÷ (Deluxe),12,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,spotify:track:4VuS959DSpr82t3qBqCrWG,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,0.257,78
86,÷ (Deluxe),13,3Lfiu5sZ4M4B6JaKMBc0FU,Barcelona,spotify:track:3Lfiu5sZ4M4B6JaKMBc0FU,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,0.682,69
87,÷ (Deluxe),14,6SznMYPQJHzr3IwsAHLId2,Bibia Be Ye Ye,spotify:track:6SznMYPQJHzr3IwsAHLId2,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,0.882,67
88,÷ (Deluxe),15,35QZaWQRkmnAVqBF1TLCxQ,Nancy Mulligan,spotify:track:35QZaWQRkmnAVqBF1TLCxQ,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,0.858,68
89,÷ (Deluxe),16,6TIU9Ehmi6dMzZK73Ym4yj,Save Myself,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,0.85,0.552,0.29,0.0,0.227,-5.617,0.0448,78.842,0.481,68
106,x (Wembley Edition),17,3B8BedGdUGT1Ixog6v8ua8,English Rose,spotify:track:3B8BedGdUGT1Ixog6v8ua8,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,45
107,x (Wembley Edition),18,4w098dhR8GON00jYL1vCv4,Touch and Go,spotify:track:4w098dhR8GON00jYL1vCv4,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,60
108,x (Wembley Edition),19,5FBaWYaoA8j260ctveOa4a,New York,spotify:track:5FBaWYaoA8j260ctveOa4a,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,47
109,x (Wembley Edition),20,4rhcqdXTzNX9uZRZybj3UP,Make It Rain,spotify:track:4rhcqdXTzNX9uZRZybj3UP,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,0.327,57
110,x (Wembley Edition),21,0CjyIDOzzujwovFiCHe1LS,Parting Glass - Live at Wembley Stadium,spotify:track:0CjyIDOzzujwovFiCHe1LS,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,0.541,42
111,x (Wembley Edition),22,1nVe4FCdf6dVBkzAF741IC,Small Bump - Live at Wembley Stadium,spotify:track:1nVe4FCdf6dVBkzAF741IC,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,41
112,x (Wembley Edition),23,1eIcWCHqpW2qlWwNOH3dL1,Lay It All on Me (feat. Ed Sheeran),spotify:track:1eIcWCHqpW2qlWwNOH3dL1,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,44
114,5,2,24ha18yq0t7XnZ9EgJ7HYb,So,spotify:track:24ha18yq0t7XnZ9EgJ7HYb,0.853,0.521,0.133,0.0,0.35,-10.599,0.0431,140.077,0.391,47
115,5,3,6ThrnYkLPlKar6dUIggR6Q,Be Like You,spotify:track:6ThrnYkLPlKar6dUIggR6Q,0.715,0.671,0.388,0.0,0.192,-6.516,0.0762,105.869,0.59,45
117,5,5,0Z0GZkW8QCohqGChLmWixd,Sunburn,spotify:track:0Z0GZkW8QCohqGChLmWixd,0.842,0.533,0.17,5.03e-06,0.113,-11.342,0.0668,116.852,0.33,45
118,5,1,4Ur8TgNrZyUuRBWjsQfgGe,Let It Out,spotify:track:4Ur8TgNrZyUuRBWjsQfgGe,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,0.619,44
119,5,2,5YS8NjfOuoFP1vi5wglycc,Homeless,spotify:track:5YS8NjfOuoFP1vi5wglycc,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,0.875,42
120,5,3,5DizlXTwJjjwxxqGNChcvO,Little Bird,spotify:track:5DizlXTwJjjwxxqGNChcvO,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,0.278,44
121,5,4,2Z7RLfJdXXkXUmvMJxkNJo,Sofa,spotify:track:2Z7RLfJdXXkXUmvMJxkNJo,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,0.52,42
123,5,6,7udHOd6OUjUIhSjpTo4cl4,Firefly,spotify:track:7udHOd6OUjUIhSjpTo4cl4,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,0.36,47
124,5,7,7cCsAsOKvFdOjQHpADku4O,The City - Live at Sticky Studios; Loose Change EP,spotify:track:7cCsAsOKvFdOjQHpADku4O,0.507,0.712,0.569,0.0,0.412,-6.032,0.204,105.032,0.837,38
125,5,8,0dQ5jI1SGoAX2QT6N95tad,Firefly - Bravado Dubstep Remix,spotify:track:0dQ5jI1SGoAX2QT6N95tad,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,0.49,37
126,5,1,5JTTFF4bKTIqrhRmmOgXXo,Fall,spotify:track:5JTTFF4bKTIqrhRmmOgXXo,0.632,0.559,0.283,0.00127,0.126,-9.827,0.0323,82.552,0.188,47
127,5,2,4I7VRMbaqi6GdSkaSxe1he,Fire Alarms,spotify:track:4I7VRMbaqi6GdSkaSxe1he,0.772,0.602,0.286,0.0,0.162,-9.886,0.0296,102.009,0.379,42
